airport,year,X.month,carrier,arr_flights,arr_del15,carrier_ct,X.weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,X.arr_delay,X.carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,Latitude,Longitude
ORD,2007,2,OH,247,129,43.93,18.5,62.04,0,4.52,31,0,8205,3076,1183,3487,0,459,41.978603,-87.904842
ORD,2012,10,MQ,7235,1345,242.14,33.71,490.95,0,578.2,214,15,104820,38257,3972,29508,0,33083,41.978603,-87.904842
ORD,2012,12,AS,126,14,4.72,0.97,7.32,0,1,2,0,572,157,29,360,0,26,41.978603,-87.904842
ORD,2010,8,OO,3505,614,67.15,11.85,222.1,0.91,312,42,6,36421,4449,823,12649,74,18426,41.978603,-87.904842
ORD,2015,12,DL,575,91,20.64,13.35,37.33,1,18.69,4,1,5909,1602,1300,1854,92,1061,41.978603,-87.904842
ORD,2010,7,9E,91,33,11,2.78,8.84,0,10.38,0,1,1612,479,161,323,0,649,41.978603,-87.904842
ORD,2004,2,DH,3926,1723,66.89,2.27,1126.22,1.09,526.54,158,3,93983,4389,68,56980,65,32481,41.978603,-87.904842
ORD,2013,10,VX,143,19,2.75,4.82,7.46,0,3.97,0,0,1096,186,162,381,0,367,41.978603,-87.904842
ORD,2012,5,VX,186,40,6.86,16.52,12.66,0,3.96,0,1,2326,506,455,1162,0,203,41.978603,-87.904842
ORD,2004,9,DL,541,116,36.41,3.7,47.2,0,28.7,13,0,5731,2094,347,1658,0,1632,41.978603,-87.904842
ORD,2014,6,B6,220,58,7.24,1.16,40.86,0,8.74,4,2,3809,622,182,2433,0,572,41.978603,-87.904842
ORD,2012,8,AS,155,21,6.65,0,11.12,0,3.23,0,1,1153,355,0,487,0,311,41.978603,-87.904842
ORD,2014,9,US,604,160,36.28,2.72,107.01,4.58,9.42,24,0,10727,2247,406,7277,222,575,41.978603,-87.904842
ORD,2015,4,B6,176,39,8.95,0.87,20.43,0,8.75,1,0,2445,432,164,1120,0,729,41.978603,-87.904842
ORD,2016,4,DL,624,59,22.97,0.63,27.86,0,7.53,0,0,2624,1173,32,1019,0,400,41.978603,-87.904842
ORD,2012,3,AS,144,21,5.77,0,12.74,0,2.48,0,0,1178,131,0,912,0,135,41.978603,-87.904842
ORD,2010,11,YV,790,75,15.42,1.85,24.76,0,32.97,7,1,5797,1194,55,1655,0,2893,41.978603,-87.904842
ORD,2012,10,F9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.978603,-87.904842
ORD,2013,5,US,620,162,35.27,0.78,102.65,0.33,22.96,2,3,9601,1974,25,6129,5,1468,41.978603,-87.904842
ORD,2013,5,DL,530,123,36.93,2.44,63.5,0,20.12,3,4,6328,1931,298,3146,0,953,41.978603,-87.904842
ORD,2005,2,HP,252,62,12.09,0,36.38,0.67,12.87,3,0,2941,590,0,1783,20,548,41.978603,-87.904842
ORD,2003,10,UA,10302,1328,206.37,3.39,923.34,1.52,193.39,57,3,61857,13775,223,35352,131,12376,41.978603,-87.904842
ORD,2016,6,B6,251,51,15.82,2.39,21.61,0,11.18,3,0,4035,968,432,1648,0,987,41.978603,-87.904842
ORD,2006,1,MQ,7403,1737,157.75,40.62,887.14,0,651.49,346,42,106334,14434,4327,46889,0,40684,41.978603,-87.904842
ORD,2010,12,US,588,205,47.61,1.37,115.62,1.26,39.13,26,3,13663,2878,117,8107,53,2508,41.978603,-87.904842
ORD,2008,5,YV,2217,585,186,5,256.18,1,136.82,88,4,45213,13344,875,20484,15,10495,41.978603,-87.904842
ORD,2013,7,F9,4,2,0,0,1.98,0,0.02,0,0,121,0,0,120,0,1,41.978603,-87.904842
ORD,2005,1,AA,7566,2468,248.7,94.95,1534.67,1.77,587.91,579,39,164871,19212,7014,93639,85,44921,41.978603,-87.904842
ORD,2006,11,OH,223,90,21.93,6.83,55.57,0,5.68,6,0,4974,1254,499,2816,0,405,41.978603,-87.904842
ORD,2012,9,AA,4045,1490,442.09,17.03,461.94,0,568.94,126,12,82992,27904,1335,16472,0,37281,41.978603,-87.904842
ORD,2012,7,US,631,155,47.02,4.26,74.14,0.11,29.47,5,1,8187,2611,310,3204,7,2055,41.978603,-87.904842
ORD,2010,6,EV,273,85,16.37,9.23,25,0,34.39,18,6,8269,2034,1554,1442,0,3239,41.978603,-87.904842
ORD,2004,12,AS,124,54,15.8,0,29.26,0.77,8.17,6,0,2378,936,0,1163,17,262,41.978603,-87.904842
ORD,2003,7,CO,452,136,10.91,2.94,110.11,0,12.04,10,3,9862,434,128,8574,0,726,41.978603,-87.904842
ORD,2012,11,YV,711,77,13,12.37,22.19,0,29.44,12,2,5354,791,1611,778,0,2174,41.978603,-87.904842
ORD,2013,1,YV,583,114,14.97,0.39,38.42,0,60.22,26,0,7022,913,10,1478,0,4621,41.978603,-87.904842
ORD,2004,7,OH,161,48,16.84,14.57,16.58,0,0,10,0,2787,688,895,1204,0,0,41.978603,-87.904842
ORD,2009,11,EV,27,4,1,0,1,0,2,1,0,190,19,0,62,0,109,41.978603,-87.904842
ORD,2013,11,VX,138,18,0.71,1,9,1,6.29,2,0,1258,33,24,648,302,251,41.978603,-87.904842
